测试时间,电池组健康百分比SOH(%),BMS是否持续输出电压(/),BMS输出延时(秒),电池组内部温度/电池表面温度(0.1K),电池组总电压(mV),电池实时电流(1mA),电池相对容量百分比RSOC(%),电池绝对容量百分比ASOC(%),电池剩余容量RSCAP(mAh),电池满电容量(mAh),电池循环次数(次),保留(/),电池高16组每节电池电压(mV),电池低16组每节电池电压(mV),电池当前充电间隔时间(分钟),电池最大充电间隔时间(分钟),电池允许最大放电电流(mA),电池组允许的最大充电电压(mV),电池允许最大充电电流(mA),一级过放保护电压阈值(mV),LED灯显示状态(Hex),LED灯显示类型(Hex),电池状态信息(/),电芯型号(/),电池组内部实时时钟RTC(UTC-秒),电池设计容量 (毫安时)(mAh),电池累计放电安时数 (毫安时)(mAh),电池组内部温度，第二组电芯温度探测点温度(0.1K),电池组内部温度，第三组电芯温度探测点温度(0.1K),电池组内部温度，第四组电芯温度探测点温度(0.1K),电池组内部温度，MOS管温度(0.1K),电池内部湿度百分比(%),SOP，最大值电压/最大值电流(mV/mA),FCC(mAh),累计充电能量(Wh),累计放电能量(Wh),绝缘电阻(kΩ),是否允许充电(/),高16组 电芯1电压(mV),高16组 电芯2电压(mV),高16组 电芯3电压(mV),高16组 电芯4电压(mV),高16组 电芯5电压(mV),高16组 电芯6电压(mV),高16组 电芯7电压(mV),高16组 电芯8电压(mV),高16组 电芯9电压(mV),高16组 电芯10电压(mV),高16组 电芯11电压(mV),高16组 电芯12电压(mV),高16组 电芯13电压(mV),高16组 电芯14电压(mV),高16组 电芯15电压(mV),高16组 电芯16电压(mV),
2020年04月17日 15时03分53秒,100,1,1,2971,53115,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107032,15000,18631,2971,2971,2971,3011,43,53115/30000,15000,878,936,936,20000,3320,3320,3320,3319,3320,3320,3320,3320,3320,3319,3320,3320,3319,3319,3320,3319
2020年04月17日 15时03分54秒,100,1,1,2971,53114,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107033,15000,18631,2971,2971,2971,3011,43,53114/30000,15000,878,936,936,20000,3320,3320,3320,3319,3320,3320,3320,3320,3320,3319,3320,3320,3319,3319,3319,3319
2020年04月17日 15时03分55秒,100,1,1,2971,53114,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107033,15000,18631,2971,2971,2971,3011,43,53114/30000,15000,878,936,936,20000,3320,3320,3320,3319,3320,3320,3320,3320,3320,3319,3320,3320,3319,3319,3319,3319
2020年04月17日 15时03分56秒,100,1,1,2971,53113,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107036,15000,18631,2971,2971,2971,3011,43,53113/30000,15000,878,936,936,20000,3320,3320,3320,3319,3320,3320,3320,3320,3320,3319,3320,3320,3318,3319,3319,3319
2020年04月17日 15时03分57秒,100,1,1,2971,53115,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107037,15000,18631,2971,2971,2971,3011,43,53115/30000,15000,878,936,936,20000,3320,3320,3320,3319,3320,3320,3320,3320,3320,3319,3320,3320,3319,3319,3320,3319
2020年04月17日 15时03分58秒,100,1,1,2971,53109,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107038,15000,18631,2971,2971,2971,3011,43,53109/30000,15000,878,936,936,20000,3319,3320,3320,3318,3319,3319,3320,3320,3320,3319,3320,3320,3318,3319,3319,3319
2020年04月17日 15时03分59秒,100,1,1,2971,53109,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107039,15000,18631,2971,2971,2971,3011,43,53109/30000,15000,878,936,936,20000,3319,3320,3320,3318,3319,3319,3320,3320,3320,3319,3320,3320,3318,3319,3319,3319
2020年04月17日 15时04分00秒,100,1,1,2971,53108,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107040,15000,18631,2971,2971,2971,3011,43,53108/30000,15000,878,936,936,20000,3319,3320,3320,3318,3319,3319,3320,3319,3320,3319,3320,3320,3318,3319,3319,3319
2020年04月17日 15时04分01秒,100,1,1,2971,53108,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107041,15000,18631,2971,2971,2971,3011,43,53108/30000,15000,878,936,936,20000,3319,3319,3320,3318,3320,3319,3319,3320,3320,3319,3320,3320,3318,3319,3319,3319
2020年04月17日 15时04分02秒,100,1,1,2971,53106,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107042,15000,18631,2971,2971,2971,3011,43,53106/30000,15000,878,936,936,20000,3319,3319,3319,3318,3319,3319,3320,3319,3320,3319,3320,3320,3318,3319,3319,3319
2020年04月17日 15时04分03秒,100,1,1,2971,53105,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107043,15000,18631,2971,2971,2971,3011,43,53105/30000,15000,878,936,936,20000,3319,3319,3319,3318,3319,3319,3320,3319,3319,3319,3320,3320,3318,3319,3319,3319
2020年04月17日 15时04分04秒,100,1,1,2971,53106,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107044,15000,18631,2971,2971,2971,3011,43,53106/30000,15000,878,936,936,20000,3319,3319,3319,3318,3319,3319,3320,3320,3319,3319,3320,3320,3318,3319,3319,3319
2020年04月17日 15时04分05秒,100,1,1,2971,53106,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107044,15000,18631,2971,2971,2971,3011,43,53106/30000,15000,878,936,936,20000,3319,3319,3319,3318,3319,3319,3320,3320,3319,3319,3320,3320,3318,3319,3319,3319
2020年04月17日 15时04分06秒,100,1,1,2971,53106,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107046,15000,18631,2971,2971,2971,3011,43,53106/30000,15000,878,936,936,20000,3319,3319,3319,3318,3319,3319,3320,3319,3320,3319,3320,3320,3318,3319,3319,3319
2020年04月17日 15时04分07秒,100,1,1,2971,53106,0,58,57,8583,15000,1,0,0,0,2,251,30000,58400,10000,2200,00 00,00 00,C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,IFR32135-15Ah,1587107047,15000,18631,2971,2971,2971,3011,43,53106/30000,15000,878,936,936,20000,3319,3319,3319,3318,3319,3319,3320,3320,3319,3319,3320,3320,3318,3319,3319,3319
